time,value
1.983621474067334134e-01,1.568627450672818169e-01
1.992720655141037300e-01,1.568627450672818169e-01
2.001819836214740744e-01,1.568627450672818169e-01
2.010919017288444188e-01,1.568627450672818169e-01
2.020018198362147355e-01,1.568627450672818169e-01
2.029117379435850799e-01,1.568627450672818169e-01
2.038216560509554243e-01,1.568627450672818169e-01
2.047315741583257687e-01,1.568627450672818169e-01
2.056414922656960853e-01,1.372549019338715759e-01
2.065514103730664297e-01,1.176470588004613627e-01
2.074613284804367741e-01,1.176470588004613627e-01
2.083712465878070907e-01,1.176470588004613627e-01
2.092811646951774351e-01,1.176470588004613627e-01
2.101910828025477795e-01,1.176470588004613627e-01
2.111010009099181239e-01,1.176470588004613627e-01
2.120109190172884406e-01,1.176470588004613627e-01
2.129208371246587850e-01,-6.862745096693578795e-01
2.138307552320291294e-01,-6.862745096693578795e-01
2.147406733393994738e-01,3.137254901345636338e-01
2.156505914467697904e-01,3.137254901345636338e-01
2.165605095541401348e-01,-9.999999998039215132e-01
2.174704276615104792e-01,-9.999999998039215132e-01
2.183803457688807959e-01,-9.999999998039215132e-01
2.192902638762511403e-01,-9.019607841368704193e-01
2.202001819836214846e-01,-6.862745096693578795e-01
2.211101000909918290e-01,-6.666666665359477495e-01
2.220200181983621457e-01,-4.117647058016147832e-01
2.229299363057324901e-01,5.882352940023068133e-02
2.238398544131028345e-01,9.803921566705113555e-02
2.247497725204731511e-01,9.803921566705113555e-02
2.256596906278434955e-01,9.803921566705113555e-02
2.265696087352138399e-01,9.803921566705113555e-02
2.274795268425841843e-01,9.803921566705113555e-02
2.283894449499545010e-01,9.803921566705113555e-02
2.292993630573248454e-01,7.843137253364090844e-02
2.302092811646951898e-01,9.803921566705113555e-02
2.311191992720655342e-01,9.803921566705113555e-02
2.320291173794358508e-01,9.803921566705113555e-02
2.329390354868061952e-01,9.803921566705113555e-02
2.338489535941765396e-01,9.803921566705113555e-02
2.347588717015468562e-01,9.803921566705113555e-02
2.356687898089172006e-01,9.803921566705113555e-02
2.365787079162875450e-01,9.803921566705113555e-02
2.374886260236578894e-01,9.803921566705113555e-02
2.383985441310282061e-01,9.803921566705113555e-02
2.393084622383985505e-01,9.803921566705113555e-02
2.402183803457688949e-01,9.803921566705113555e-02
2.411282984531392393e-01,9.803921566705113555e-02
2.420382165605095559e-01,9.803921566705113555e-02
2.429481346678799003e-01,1.176470588004613627e-01
2.438580527752502447e-01,1.176470588004613627e-01
2.447679708826205613e-01,1.176470588004613627e-01
2.456778889899909057e-01,1.176470588004613627e-01
2.465878070973612501e-01,1.176470588004613627e-01
2.474977252047315945e-01,1.176470588004613627e-01
2.484076433121019112e-01,1.176470588004613627e-01
2.493175614194722556e-01,1.176470588004613627e-01
2.502274795268426000e-01,1.176470588004613627e-01
2.511373976342129444e-01,1.176470588004613627e-01
2.520473157415832888e-01,1.372549019338715759e-01
2.529572338489535777e-01,9.803921566705113555e-02
2.538671519563239221e-01,9.803921566705113555e-02
